image,category,shelf_name,x1,y1,x2,y2,w,h,train
C4_P08_N1_S5_2.JPG,9,C4_P08,1016,1800,1152,2012,136,212,False
C3_P03_N2_S4_1.JPG,9,C3_P03,1192,2040,1376,2324,184,284,True
C3_P01_N4_S3_1.JPG,9,C3_P01,2080,1776,2328,2156,248,380,True
C3_P04_N2_S4_1.JPG,9,C3_P04,456,1860,660,2156,204,296,True
C3_P04_N4_S2_1.JPG,9,C3_P04,1624,1716,2024,2276,400,560,True
C1_P09_N2_S4_1.JPG,9,C1_P09,648,1244,844,1516,196,272,False
C3_P04_N4_S2_2.JPG,9,C3_P04,1400,1396,1684,1780,284,384,True
C3_P07_N4_S2_1.JPG,9,C3_P07,2804,584,3152,1056,348,472,True
C3_P07_N1_S5_1.JPG,9,C3_P07,1952,1664,2120,1904,168,240,True
C4_P08_N3_S3_2.JPG,9,C4_P08,1644,1644,1876,1980,232,336,False
C3_P04_N4_S2_2.JPG,9,C3_P04,768,1348,1084,1772,316,424,True
C3_P04_N4_S2_1.JPG,9,C3_P04,784,1648,1168,2264,384,616,True
C2_P06_N2_S4_2.JPG,9,C2_P06,960,1360,1116,1556,156,196,False
C2_P05_N1_S5_1.JPG,9,C2_P05,688,1584,812,1752,124,168,True
C4_P04_N5_S2_1.JPG,9,C4_P04,212,180,456,552,244,372,True
C4_P04_N1_S5_1.JPG,9,C4_P04,584,1716,756,1976,172,260,True
C2_P06_N3_S3_1.JPG,9,C2_P06,964,1052,1128,1288,164,236,False
C3_P03_N2_S4_1.JPG,9,C3_P03,920,2052,1104,2336,184,284,True
C2_P06_N2_S4_1.JPG,9,C2_P06,988,1532,1144,1764,156,232,False
C3_P07_N1_S4_1.JPG,9,C3_P07,1708,2004,1904,2268,196,264,True
C2_P05_N2_S5_1.JPG,9,C2_P05,640,1044,748,1188,108,144,True
C3_P07_N3_S2_1.JPG,9,C3_P07,2436,1500,2748,1936,312,436,True
C3_P03_N4_S2_1.JPG,9,C3_P03,1416,1288,1716,1704,300,416,True
C2_P02_N1_S5_1.JPG,9,C2_P02,816,1784,924,1928,108,144,True
C3_P04_N1_S5_1.JPG,9,C3_P04,584,2044,740,2260,156,216,True
C3_P07_N4_S2_1.JPG,9,C3_P07,2484,580,2820,1052,336,472,True
C1_P09_N3_S3_1.JPG,9,C1_P09,296,836,488,1092,192,256,False
C4_P08_N1_S5_1.JPG,9,C4_P08,1000,1784,1132,1972,132,188,False
C3_P07_N2_S3_1.JPG,9,C3_P07,2676,1932,2936,2268,260,336,True
C3_P04_N4_S2_2.JPG,9,C3_P04,1104,1388,1392,1780,288,392,True
C4_P08_N1_S5_1.JPG,9,C4_P08,1128,1792,1260,1980,132,188,False
C1_P09_N4_S4_1.JPG,9,C1_P09,512,528,708,804,196,276,False
C1_P09_N2_S6_1.JPG,9,C1_P09,644,1212,836,1460,192,248,False
C2_P05_N3_S3_1.JPG,9,C2_P05,1084,1220,1288,1524,204,304,True
C4_P08_N3_S3_1.JPG,9,C4_P08,1656,1552,1864,1852,208,300,False
C3_P04_N4_S2_1.JPG,9,C3_P04,1212,1716,1612,2276,400,560,True
C2_P05_N3_S3_2.JPG,9,C2_P05,920,1196,1080,1440,160,244,True
C3_P03_N4_S2_1.JPG,9,C3_P03,1856,1300,2140,1700,284,400,True
C3_P04_N1_S5_1.JPG,9,C3_P04,396,2020,552,2272,156,252,True
C1_P09_N3_S4_1.JPG,9,C1_P09,644,892,860,1164,216,272,False
C1_P09_N1_S5_1.JPG,9,C1_P09,648,2076,836,2348,188,272,False
C3_P03_N3_S3_1.JPG,9,C3_P03,1148,1840,1396,2224,248,384,True
C3_P04_N2_S4_1.JPG,9,C3_P04,876,1884,1080,2140,204,256,True
